_id,co_uf,no_uf,ano,variavel,mei_categoria,mei_subcategoria,valor
1,11,Rondônia,2009,MEI,Total,Total,2
2,11,Rondônia,2010,MEI,Total,Total,7188
3,11,Rondônia,2011,MEI,Total,Total,13821
4,11,Rondônia,2012,MEI,Total,Total,21320
5,11,Rondônia,2013,MEI,Total,Total,27760
6,11,Rondônia,2014,MEI,Total,Total,33135
7,11,Rondônia,2015,MEI,Total,Total,38258
8,11,Rondônia,2016,MEI,Total,Total,43300
9,11,Rondônia,2017,MEI,Total,Total,49520
10,11,Rondônia,2018,MEI,Total,Total,46142
11,11,Rondônia,2019,MEI,Total,Total,55050
12,11,Rondônia,2020,MEI,Total,Total,66822
13,11,Rondônia,2021,MEI,Total,Total,78666
14,11,Rondônia,2022,MEI,Total,Total,89739
15,12,Acre,2009,MEI,Total,Total,1
16,12,Acre,2010,MEI,Total,Total,3433
17,12,Acre,2011,MEI,Total,Total,6472
18,12,Acre,2012,MEI,Total,Total,9168
19,12,Acre,2013,MEI,Total,Total,11484
20,12,Acre,2014,MEI,Total,Total,13190
21,12,Acre,2015,MEI,Total,Total,14852
22,12,Acre,2016,MEI,Total,Total,16282
23,12,Acre,2017,MEI,Total,Total,17793
24,12,Acre,2018,MEI,Total,Total,8291
25,12,Acre,2019,MEI,Total,Total,14074
26,12,Acre,2020,MEI,Total,Total,18450
27,12,Acre,2021,MEI,Total,Total,23038
28,12,Acre,2022,MEI,Total,Total,26291
29,13,Amazonas,2010,MEI,Total,Total,10912
30,13,Amazonas,2011,MEI,Total,Total,19036
31,13,Amazonas,2012,MEI,Total,Total,28954
32,13,Amazonas,2013,MEI,Total,Total,37520
33,13,Amazonas,2014,MEI,Total,Total,45191
34,13,Amazonas,2015,MEI,Total,Total,53734
35,13,Amazonas,2016,MEI,Total,Total,60827
36,13,Amazonas,2017,MEI,Total,Total,70442
37,13,Amazonas,2018,MEI,Total,Total,63473
38,13,Amazonas,2019,MEI,Total,Total,80857
39,13,Amazonas,2020,MEI,Total,Total,104353
40,13,Amazonas,2021,MEI,Total,Total,128894
41,13,Amazonas,2022,MEI,Total,Total,149120
42,14,Roraima,2010,MEI,Total,Total,1754
43,14,Roraima,2011,MEI,Total,Total,3785
44,14,Roraima,2012,MEI,Total,Total,5815
45,14,Roraima,2013,MEI,Total,Total,7707
46,14,Roraima,2014,MEI,Total,Total,9145
47,14,Roraima,2015,MEI,Total,Total,10637
48,14,Roraima,2016,MEI,Total,Total,11726
49,14,Roraima,2017,MEI,Total,Total,13146
