_id,co_reg_geo,no_reg_geo,ano,variavel,mei_categoria,mei_subcategoria,valor
1,1.0,Norte,2009,MEI,Total,Total,3
2,1.0,Norte,2010,MEI,Total,Total,56877
3,1.0,Norte,2011,MEI,Total,Total,109502
4,1.0,Norte,2012,MEI,Total,Total,168394
5,1.0,Norte,2013,MEI,Total,Total,221327
6,1.0,Norte,2014,MEI,Total,Total,268847
7,1.0,Norte,2015,MEI,Total,Total,316912
8,1.0,Norte,2016,MEI,Total,Total,359428
9,1.0,Norte,2017,MEI,Total,Total,408422
10,1.0,Norte,2018,MEI,Total,Total,363827
11,1.0,Norte,2019,MEI,Total,Total,444090
12,1.0,Norte,2020,MEI,Total,Total,542915
13,1.0,Norte,2021,MEI,Total,Total,650292
14,1.0,Norte,2022,MEI,Total,Total,733124
15,2.0,Nordeste,2009,MEI,Total,Total,1297
16,2.0,Nordeste,2010,MEI,Total,Total,179329
17,2.0,Nordeste,2011,MEI,Total,Total,361190
18,2.0,Nordeste,2012,MEI,Total,Total,557347
19,2.0,Nordeste,2013,MEI,Total,Total,746354
20,2.0,Nordeste,2014,MEI,Total,Total,931459
21,2.0,Nordeste,2015,MEI,Total,Total,1116476
22,2.0,Nordeste,2016,MEI,Total,Total,1271544
23,2.0,Nordeste,2017,MEI,Total,Total,1449837
24,2.0,Nordeste,2018,MEI,Total,Total,1410840
25,2.0,Nordeste,2019,MEI,Total,Total,1695380
26,2.0,Nordeste,2020,MEI,Total,Total,2012097
27,2.0,Nordeste,2021,MEI,Total,Total,2362871
28,2.0,Nordeste,2022,MEI,Total,Total,2613752
29,3.0,Sudeste,2009,MEI,Total,Total,31445
30,3.0,Sudeste,2010,MEI,Total,Total,354524
31,3.0,Sudeste,2011,MEI,Total,Total,805123
32,3.0,Sudeste,2012,MEI,Total,Total,1317626
33,3.0,Sudeste,2013,MEI,Total,Total,1827041
34,3.0,Sudeste,2014,MEI,Total,Total,2349639
35,3.0,Sudeste,2015,MEI,Total,Total,2898219
36,3.0,Sudeste,2016,MEI,Total,Total,3431613
37,3.0,Sudeste,2017,MEI,Total,Total,4016988
38,3.0,Sudeste,2018,MEI,Total,Total,4039821
39,3.0,Sudeste,2019,MEI,Total,Total,4948815
40,3.0,Sudeste,2020,MEI,Total,Total,5940279
41,3.0,Sudeste,2021,MEI,Total,Total,6948583
42,3.0,Sudeste,2022,MEI,Total,Total,7719190
43,4.0,Sul,2009,MEI,Total,Total,8750
44,4.0,Sul,2010,MEI,Total,Total,106360
45,4.0,Sul,2011,MEI,Total,Total,226829
46,4.0,Sul,2012,MEI,Total,Total,377155
47,4.0,Sul,2013,MEI,Total,Total,529881
48,4.0,Sul,2014,MEI,Total,Total,682316
49,4.0,Sul,2015,MEI,Total,Total,845098
50,4.0,Sul,2016,MEI,Total,Total,1007869
51,4.0,Sul,2017,MEI,Total,Total,1196463
52,4.0,Sul,2018,MEI,Total,Total,1265222
53,4.0,Sul,2019,MEI,Total,Total,1546993
54,4.0,Sul,2020,MEI,Total,Total,1876170
55,4.0,Sul,2021,MEI,Total,Total,2210401
56,4.0,Sul,2022,MEI,Total,Total,2503348
57,5.0,Centro-Oeste,2009,MEI,Total,Total,2693
58,5.0,Centro-Oeste,2010,MEI,Total,Total,74625
59,5.0,Centro-Oeste,2011,MEI,Total,Total,154309
60,5.0,Centro-Oeste,2012,MEI,Total,Total,245083
61,5.0,Centro-Oeste,2013,MEI,Total,Total,335178
62,5.0,Centro-Oeste,2014,MEI,Total,Total,420819
63,5.0,Centro-Oeste,2015,MEI,Total,Total,503909
64,5.0,Centro-Oeste,2016,MEI,Total,Total,579442
65,5.0,Centro-Oeste,2017,MEI,Total,Total,666880
66,5.0,Centro-Oeste,2018,MEI,Total,Total,659742
67,5.0,Centro-Oeste,2019,MEI,Total,Total,795160
68,5.0,Centro-Oeste,2020,MEI,Total,Total,945392
69,5.0,Centro-Oeste,2021,MEI,Total,Total,1112549
70,5.0,Centro-Oeste,2022,MEI,Total,Total,1251000
